dongCode,dongName,convenience_store,education,caf?,restaurant,health,market,avg_diff_convenience_store,avg_diff_education,avg_diff_caf?,avg_diff_restaurant,avg_diff_health,avg_diff_market,label_id
1111017100,명륜2가,1,8,25,211,1,2,-14,-45,-29,-2034,-10,-6,NULL
1111017200,명륜4가,3,1,28,209,0,1,-12,-52,-26,-2036,-11,-7,006
1111017300,명륜3가,7,9,9,141,0,0,-8,-44,-45,-2104,-11,-8,NULL
1111017400,창신동,13,30,39,914,9,10,-2,-23,-15,-1331,-2,2,006
1111017500,숭인동,25,29,30,790,3,9,10,-24,-24,-1455,-8,1,001
1111017600,교남동,0,0,1,21,1,1,-15,-53,-53,-2224,-10,-7,NULL
1111017700,평동,2,4,10,54,1,2,-13,-49,-44,-2191,-10,-6,NULL
1111017800,송월동,0,0,0,0,0,0,-15,-53,-54,-2245,-11,-8,NULL
1111017900,홍파동,0,7,1,33,1,1,-15,-46,-53,-2212,-10,-7,NULL
1111018000,교북동,1,6,3,30,0,0,-14,-47,-51,-2215,-11,-8,NULL
1111018100,행촌동,3,4,2,51,0,1,-12,-49,-52,-2194,-11,-7,NULL
1111018200,구기동,4,8,14,170,4,3,-11,-45,-40,-2075,-7,-5,NULL
1111018300,평창동,11,47,44,408,8,8,-4,-6,-10,-1837,-3,0,NULL
1111018400,부암동,4,10,50,197,1,0,-11,-43,-4,-2048,-10,-8,NULL
1111018500,홍지동,8,6,10,103,0,1,-7,-47,-44,-2142,-11,-7,NULL
1111018600,신영동,4,21,7,109,2,1,-11,-32,-47,-2136,-9,-7,NULL
1111018700,무악동,3,15,13,128,0,2,-12,-38,-41,-2117,-11,-6,NULL
1114010100,무교동,3,1,6,62,1,0,-12,-52,-48,-2183,-10,-8,NULL
1114010200,다동,4,1,20,143,3,1,-11,-52,-34,-2102,-8,-7,NULL
1114010300,태평로1가,5,2,15,82,1,0,-10,-51,-39,-2163,-10,-8,NULL
1114010400,을지로1가,2,2,17,63,0,0,-13,-51,-37,-2182,-11,-8,NULL
1114010500,을지로2가,6,3,21,212,0,1,-9,-50,-33,-2033,-11,-7,NULL
1114010600,남대문로1가,0,0,2,9,1,0,-15,-53,-52,-2236,-10,-8,NULL
1114010700,삼각동,0,1,4,13,0,0,-15,-52,-50,-2232,-11,-8,NULL
1114010800,수하동,2,2,6,56,1,0,-13,-51,-48,-2189,-10,-8,NULL
1114010900,장교동,1,0,3,34,1,0,-14,-53,-51,-2211,-10,-8,NULL
1114011000,수표동,3,2,11,126,1,0,-12,-51,-43,-2119,-10,-8,NULL
1114011100,소공동,6,0,37,507,0,1,-9,-53,-17,-1738,-11,-7,NULL
1114011200,남창동,4,1,29,1373,0,7,-11,-52,-25,-872,-11,-1,NULL
1114011300,북창동,3,4,10,138,0,0,-12,-49,-44,-2107,-11,-8,NULL
1114011400,태평로2가,2,4,27,177,2,1,-13,-49,-27,-2068,-9,-7,NULL
1114011500,남대문로2가,0,1,1,66,0,0,-15,-52,-53,-2179,-11,-8,NULL
1114011600,남대문로3가,0,0,1,59,0,2,-15,-53,-53,-2186,-11,-6,NULL
1114011700,남대문로4가,3,1,8,123,2,0,-12,-52,-46,-2122,-9,-8,NULL
1114011800,남대문로5가,10,5,40,315,2,1,-5,-48,-14,-1930,-9,-7,NULL
1114011900,봉래동1가,0,0,5,65,1,0,-15,-53,-49,-2180,-10,-8,NULL
1114012000,봉래동2가,2,0,10,73,0,2,-13,-53,-44,-2172,-11,-6,NULL
1114012100,회현동1가,9,4,29,311,6,3,-6,-49,-25,-1934,-5,-5,NULL
1114012200,회현동2가,3,2,6,49,0,0,-12,-51,-48,-2196,-11,-8,NULL
1114012300,회현동3가,0,1,3,21,0,0,-15,-52,-51,-2224,-11,-8,NULL
1114012400,충무로1가,6,0,29,366,1,1,-9,-53,-25,-1879,-10,-7,NULL
1114012500,충무로2가,4,5,19,181,1,2,-11,-48,-35,-2064,-10,-6,NULL
1114012600,명동1가,1,0,14,75,2,1,-14,-53,-40,-2170,-9,-7,NULL
1114012700,명동2가,2,0,26,223,4,1,-13,-53,-28,-2022,-7,-7,NULL
1114012800,남산동1가,3,1,4,46,0,0,-12,-52,-50,-2199,-11,-8,NULL
1114012900,남산동2가,2,2,14,102,0,0,-13,-51,-40,-2143,-11,-8,NULL
1114013000,남산동3가,0,2,5,23,0,0,-15,-51,-49,-2222,-11,-8,NULL
1114013100,저동1가,1,1,4,36,0,0,-14,-52,-50,-2209,-11,-8,NULL
1114013200,충무로4가,0,5,12,293,1,1,-15,-48,-42,-1952,-10,-7,NULL
1114013300,충무로5가,5,0,6,137,0,0,-10,-53,-48,-2108,-11,-8,NULL
1114013400,인현동2가,0,3,5,229,1,3,-15,-50,-49,-2016,-10,-5,NULL
1114013500,예관동,1,1,4,74,0,0,-14,-52,-50,-2171,-11,-8,NULL
1114013600,묵정동,3,4,2,93,0,1,-12,-49,-52,-2152,-11,-7,NULL
1114013700,필동1가,0,4,7,86,1,0,-15,-49,-47,-2159,-10,-8,NULL
1114013800,필동2가,4,5,23,178,2,1,-11,-48,-31,-2067,-9,-7,NULL
1114013900,필동3가,3,1,16,100,1,1,-12,-52,-38,-2145,-10,-7,NULL
1114014000,남학동,0,0,0,20,0,1,-15,-53,-54,-2225,-11,-7,NULL
1114014100,주자동,0,0,1,13,0,0,-15,-53,-53,-2232,-11,-8,NULL
1114014200,예장동,3,3,6,55,1,1,-12,-50,-48,-2190,-10,-7,NULL
1114014300,장충동1가,3,3,9,90,2,0,-12,-50,-45,-2155,-9,-8,NULL
1114014400,장충동2가,8,8,24,265,4,2,-7,-45,-30,-1980,-7,-6,NULL
1114014500,광희동1가,4,1,6,166,1,2,-11,-52,-48,-2079,-10,-6,NULL
1114014600,광희동2가,4,2,1,64,1,0,-11,-51,-53,-2181,-10,-8,NULL
1114014700,쌍림동,5,5,10,129,3,1,-10,-48,-44,-2116,-8,-7,NULL
1114014800,을지로6가,6,3,39,1006,3,3,-9,-50,-15,-1239,-8,-5,NULL
1114014900,을지로7가,3,0,13,99,0,0,-12,-53,-41,-2146,-11,-8,NULL
1114015000,을지로4가,1,1,12,168,1,0,-14,-52,-42,-2077,-10,-8,NULL
1114015100,을지로5가,1,0,6,203,2,4,-14,-53,-48,-2042,-9,-4,NULL
1114015200,주교동,3,4,11,259,2,2,-12,-49,-43,-1986,-9,-6,NULL
1114015300,방산동,0,2,3,91,1,0,-15,-51,-51,-2154,-10,-8,NULL
1114015400,오장동,2,0,11,346,3,3,-13,-53,-43,-1899,-8,-5,NULL
1114015500,을지로3가,8,4,14,299,2,0,-7,-49,-40,-1946,-9,-8,NULL
1114015600,입정동,0,0,2,55,0,1,-15,-53,-52,-2190,-11,-7,NULL
1114015700,산림동,1,3,7,109,0,1,-14,-50,-47,-2136,-11,-7,NULL
1114015800,충무로3가,6,4,14,215,5,0,-9,-49,-40,-2030,-6,-8,NULL
1114015900,초동,3,2,11,148,3,0,-12,-51,-43,-2097,-8,-8,NULL
1114016000,인현동1가,0,3,9,176,1,0,-15,-50,-45,-2069,-10,-8,NULL
1114016100,저동2가,5,3,15,153,0,4,-10,-50,-39,-2092,-11,-4,NULL
1114016200,신당동,56,173,181,4371,33,36,41,120,127,2126,22,28,004
1114016300,흥인동,3,3,9,238,7,1,-12,-50,-45,-2007,-4,-7,NULL
1114016400,무학동,2,0,2,60,0,0,-13,-53,-52,-2185,-11,-8,NULL
1114016500,황학동,7,9,23,576,7,11,-8,-44,-31,-1669,-4,3,006
1114016600,서소문동,3,5,33,191,5,0,-12,-48,-21,-2054,-6,-8,NULL
1114016700,정동,4,2,20,107,2,1,-11,-51,-34,-2138,-9,-7,NULL
1114016800,순화동,5,4,19,139,3,1,-10,-49,-35,-2106,-8,-7,NULL
1114016900,의주로1가,1,1,1,15,1,0,-14,-52,-53,-2230,-10,-8,NULL
1114017000,충정로1가,0,2,7,26,0,0,-15,-51,-47,-2219,-11,-8,NULL
1114017100,중림동,7,12,18,283,4,4,-8,-41,-36,-1962,-7,-4,NULL
1114017200,의주로2가,0,0,0,32,0,0,-15,-53,-54,-2213,-11,-8,NULL
1114017300,만리동1가,1,4,10,64,1,0,-14,-49,-44,-2181,-10,-8,NULL
1114017400,만리동2가,2,3,8,49,0,1,-13,-50,-46,-2196,-11,-7,NULL
1117010100,후암동,12,28,41,418,1,12,-3,-25,-13,-1827,-10,4,006
1117010200,용산동2가,14,15,38,412,4,8,-1,-38,-16,-1833,-7,0,NULL
1117010300,용산동4가,2,0,1,3,0,0,-13,-53,-53,-2242,-11,-8,NULL
1117010400,갈월동,8,10,27,268,1,2,-7,-43,-27,-1977,-10,-6,NULL
